name	relationship	relationship_value	continent
Disruption Network Lab e.V.	Grantees	5	Europe
Django	Grantees	5
Django REST Framework	Grantees	5
DNSSEC/DANE Chain Stapling	Grantees	5
DocuBricks	Mozfest Facilitator	3	North America
DocuBricks	Open leaders	3	North America
Doscom - Dinus Open Source Community	Mozfest Facilitator	3	Asia
Doteveryone	OWF Host Org Applicants	2	Europe
Dream Touch for All	Open leaders	3	Asia
DuraSpace	Open leaders	3	North America
Dutch Ministry of Foreign Affairs	None	1	North America
E4 Youth	Grantees	5	North America
École polytechnique fédérale de Lausanne	Mozfest Facilitator	3	Europe
Editacuja & Appiario	IHR Contributors	4	South America
Educators Cooperative	Mozfest Facilitator	3	North America
Eduity, LLC	Grantees	5	North America
Electronic Frontier Finland	None	1	Europe
Electronic Frontier Foundation	Grantees	5	North America
Electronic Information for Libraries (EIFL)	None	1	Europe
electronic privacy information center (epic)	None	1	North America
eLife	Mozfest Facilitator	3	North America
Emojination	Mozfest Facilitator	3
Endangered Data Week	Open leaders	3
EngageMedia	Grantees	5	Oceania
enterprise center chattanooga	None	1	North America
Epicenter.works	Mozfest Facilitator	3	Europe
eQualit.ie	OWF Host Org Applicants	2	North America
Equality Labs	OWF Host Org Applicants	2
ETER || a free/libre air-quality monitor for education & research	Grantees	5
European Bureau of Library, Information and Documentation Associations	None	1	Europe
European Consumers' Bureau	None	1	Europe
European Digital Media Association (EDiMA)	None	1	Europe
European Digital Rights	Grantees	5	Europe
European Digital Rights	Mozfest Facilitator	3	Europe
European Digital Rights	Open leaders	3	Europe
European Digital Rights	OWF Host Org Applicants	2	Europe
Exa Foundation	Mozfest Facilitator	3	Europe
Explo	Open leaders	3	North America
explore science	Mozfest Facilitator	3	North America
EyeBeam	Grantees	5	North America
EyeBeam	Mozfest Facilitator	3	North America
EyeBeam	OWF Host Org Applicants	2	North America
eyeo GmbH	Mozfest Facilitator	3	Europe
f**koffgoogle.de	None	1	Europe
FabLabs (Netherlands)	None	1	Europe
Facing History and Ourselves	Open leaders	3	North America
Fantsuam Foundation	None	1	Africa
Fathom Beyond	Mozfest Facilitator	3	Africa
FEMNET - African Women's Development and Communication Network	OWF Host Org Applicants	2	Africa
Fight for the Future	Grantees	5
Fight for the Future	OWF Host Org Applicants	2
Fit Open	Open leaders	3
Flattr (eyeo)	Mozfest Facilitator	3	North America
Ford Foundation	Funders	5	North America
Forum of Incident Response and Security Teams (FIRST)	OWF Host Org Applicants	2	North America
Foundation for a Just Society	None	1	North America
Foundation for Media Alternatives	None	1	Asia
Foundation For Public Code	Open leaders	3
Framasoft	OWF Host Org Applicants	2
Free Press	Mozfest Facilitator	3	North America
Free Software Foundation	None	1	North America
Free Software Foundation Europe	OWF Host Org Applicants	2	Europe
Freedom & Roam Uganda	None	1	Africa
Freedom House	IHR Contributors	4	North America
Freedom of the Press Foundation	Mozfest Facilitator	3	North America
Freedom of the Press Foundation	OWF Host Org Applicants	2	North America
Freedom Online Coalition (FOC)	None	1	Europe
FRIDA The Young Feminist Fund	None	1
Full Fact	Mozfest Facilitator	3	Europe
Full Frontal with Samantha Bee	Mozfest Speakers	4	North America
Full Stack Toronto	Grantees	5	North America
Fundación Acceso	None	1	North America
Fundación Ciudadano Inteligente	OWF Host Org Applicants	2	South America
Fundación Escuela Latinoamericana de Redes (EsLaRed)	None	1	South America
Fundación Karisma	None	1	South America
Fundación Medialab Quito	OWF Host Org Applicants	2	South America
FutureLearn	Mozfest Facilitator	3	Europe
Genesee Intermediate School District	Grantees	5	North America
Gesellschaft für Freiheitsrechte	None	1	Europe
Girls Who Code	None	1	North America
Girls2Geeks	Mozfest Facilitator	3
GirlsGetGeeky	Open leaders	3
GitHub	IHR Contributors	4	North America
GitHub	Mozfest Facilitator	3	North America
Give1ProjectGambia	Mozfest Facilitator	3	Africa
Global Action Project	Grantees	5	North America
Global Action Project	Mozfest Facilitator	3	North America
Global Connect Initiative (GCI)	None	1	North America
Global Forum on Cyber Expertise (GFCE)	None	1	Europe
Global Innovation Gathering (GIG)	Grantees	5	Europe
Global Kids	Grantees	5	North America
Global Voices Online	IHR Contributors	4	Europe
Global Voices Online	Mozfest Facilitator	3	Europe
Global Voices Online	Grantees	5	Europe
Godot	Grantees	5
Google Ideas	None	1	North America
goTenna	Mozfest Facilitator	3	North America
Gray Area Foundation for the Arts, Inc.	OWF Host Org Applicants	2	North America
GreatFire.org	OWF Host Org Applicants	2
GreenNet	None	1	Europe
Guifi.net	None	1	Europe
HACKccessibility	Open leaders	3
Hacks/Hackers	Grantees	5
Hacks/Hackers	Open leaders	3
Hamilton County Department of Education	Grantees	5	North America
HarfBuzz	Grantees	5
Helix Arts	Mozfest Facilitator	3	Europe
Hiperderecho	OWF Host Org Applicants	2	South America
Hivos	None	1	Europe
Holla Back	Mozfest Speakers	4	North America
Holla Back	OWF Host Org Applicants	2	North America
Housing Families First	Mozfest Facilitator	3	North America
Human Computation Institute	Mozfest Facilitator	3	North America
Human Rights Watch	OWF Host Org Applicants	2	North America
HumanityX	Mozfest Facilitator	3	Europe
Icahn Institute at Mount Sinai	Mozfest Facilitator	3	North America
ICANN	None	1	North America
Information Society Project at Yale Law School	OWF Host Org Applicants	2	North America
Institute for Educational Leadership	Open leaders	3	North America
