relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
Grantees	National Cyber Security Alliance	http://www.staysafeonline.org/	staysafeonline	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
Mozfest Facilitator	National Digital Inclusion Alliance	https://www.digitalinclusion.org	netinclusion						4
None	National Digital Inclusion Alliance	https://www.digitalinclusion.org	netinclusion						1
Grantees	National Museum of Mexican Art	http://www.nationalmuseumofmexicanart.org/	ExploreNMMA	Chicago	United States of America	North America	41.9	-87.65	5
Funders	National Science Foundation	http://www.nsf.gov/	NSF	Alexandria	United States of America	North America	38.80472222	-77.04722222	5
Grantees	Neighborhood Economic Development Corporation	https://nedcocdc.org/	nedcocdc	Springfield	United States of America	North America	44.05305556	-122.9911111	5
Funders	Netflix	https://www.netflix.com	netflix	Los Gatos	United States of America	North America	37.23611111	-121.9616667	5
IHR Contributors	Netgov	http://net-gov.org/							4
Grantees	Netroots Foundation	https://www.netrootsfoundation.org/	netroots_nation	Kansas City	United States of America	North America	39.05	-94.58333333	5
None	Netsquared	https://netsquared.org/	netsquared						1
OWF Host Org Applicants	Netsquared kenya	https://netsquared.org/	netsquared						3
None	Netzpolitik.org	https://netzpolitik.org	netzpolitik	Berlin	Germany	Europe	52.51666667	13.38333333	1
OWF Host Org Applicants	Netzpolitik.org	https://netzpolitik.org	netzpolitik	Berlin	Germany	Europe	52.51666667	13.38333333	3
Mozfest Facilitator	NeuroTechX	http://neurotechx.com/	neurotechx	Montreal	Canada	North America	45.508056	-73.555	4
Open leaders	NeuroTechX	http://neurotechx.com/	neurotechx	Montreal	Canada	North America	45.508056	-73.555	4
Grantees	New America Foundation	https://www.newamerica.org/	newamerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
Mozfest Facilitator	New America Foundation	https://www.newamerica.org/	newamerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Open leaders	New America Foundation	https://www.newamerica.org/	newamerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
OWF Host Org Applicants	New America Foundation	https://www.newamerica.org/	newamerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
None	new freedome program								1
None	New School Digital Equity Lab	https://www.newschool.edu/digital-equity-lab/	thenewschool	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	New York City Department of Education	http://schools.nyc.gov/	nycschools	New York City	United States of America	North America	40.67	-73.94	4
Open leaders	New York City Foundation for Computer Science Education	https://www.csnyc.org/	csnyc	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	New York Civil Liberties Union	https://www.nyclu.org/	NYCLU	New York City	United States of America	North America	40.67	-73.94	3
Funders	New York Community Trust	www.nycommunitytrust.org/	nycommtrust	New York City	United States of America	North America	40.67	-73.94	5
Grantees	New York Community Trust	www.nycommunitytrust.org/	nycommtrust	New York City	United States of America	North America	40.67	-73.94	5
Open leaders	New York Hall of Science (NYSCI)	https://nysci.org/	nysci	New York City	United States of America	North America	40.67	-73.94	4
None	New York Public Library	http://www.nypl.org/	nypl	New York City	United States of America	North America	40.67	-73.94	1
Open leaders	Newbook DIgital Texts	http://www.newbookdigitaltexts.org/	newbook_texts/	Seattle	United States of America	North America	47.6	-122.3166667	4
Funders	News Integrity Intiative	https://www.journalism.cuny.edu/centers/news-integrity-initiative/	cunyjschool	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	NEXMAP	http://www.nexmap.org/	sfnexmap	San Francisco	United States of America	North America	37.766667	-122.433333	4
Open leaders	NEXMAP	http://www.nexmap.org/	sfnexmap	San Francisco	United States of America	North America	37.766667	-122.433333	4
OWF Host Org Applicants	Next Century Cities	http://nextcenturycities.org/	nextcentcit	Boston	United States of America	North America	42.35777778	-71.06166667	3
None	NL Net Foundation (Netherlands)	https://nlnet.nl/	nlnetlabs	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
None	Nodo TAU	http://www.tau.org.ar	Not on Twitter	Santa Fe	Argentina	South America	-31.63333333	-60.7	1
Grantees	NonVisual Desktop Access	http://www.nvaccess.org/	nvAccess	Brisbane	Australia	Oceania	-27.46777778	153.0277778	5
Grantees	North Park Village Nature Center of the Chicago Park District	https://www.chicagoparkdistrict.com/parks-facilities/north-park-village-nature-center	chicagoparks	Chicago	United States of America	North America	41.9	-87.65	5
Mozfest Facilitator	Northern Ireland Raspberry Jam	https://www.raspberrypi.org/blog/northern-irelands-first-raspberry-jams/	niraspjam	Derry	Northern Ireland	Europe	54.99166667	-7.341666667	4
None	Núcleo de Pesquisas, Estudos e Formação	http://www.nupef.org.br	Not on Twitter	Rio de Janeiro	Brazil	South America	-22.90833333	-43.19638889	1
Mozfest Facilitator	Nucleus Learning Network	http://www.nucleuslearningnetwork.org/	nucleusatx	Austin	United States of America	North America	30.3	-97.73333333	4
Open leaders	Nucleus Learning Network	http://www.nucleuslearningnetwork.org/	nucleusatx	Austin	United States of America	North America	30.3	-97.73333333	4
Open leaders	NYC Mayor's Office of Data Analytics (MODA)	http://www1.nyc.gov/site/analytics/index.page	NYCAnalytics	New York City	United States of America	North America	40.67	-73.94	4
Open leaders	O Foundation	https://theofdn.org/	ofdnorg	Bhubaneswar	India	Asia	20.26444444	85.82805556	4
Mozfest Facilitator	Ocado	https://www.ocado.com/webshop/startWebshop.do	ocado	Hatfield	United Kingdom	Europe	51.762	-0.228	4
None	Ogunte	https://www.ogunte.com/	ogunte	London	United Kingdom	Europe	51.50722222	-0.1275	1
None	Omidyar Network	http://www.omidyar.com/	OmidyarNetwork	Redwood City	United States of America	North America	37.48277778	-122.2361111	1
None	One World Platform	http://oneworldplatform.net/	owplatform		Bosnia and Herzegovina	Europe			1
Mozfest Facilitator	Open Austin	https://www.open-austin.org/	openaustin	Austin	United States of America	North America	30.3	-97.73333333	4
Open leaders	Open Austin	https://www.open-austin.org/	openaustin	Austin	United States of America	North America	30.3	-97.73333333	4
None	Open Data Institute	http://theodi.org/	ODIHQ	London	United Kingdom	Europe	51.50722222	-0.1275	1
OWF Host Org Applicants	Open Data Institute	http://theodi.org/	ODIHQ	London	United Kingdom	Europe	51.50722222	-0.1275	3
Open leaders	Open Data Kit	https://opendatakit.org/	OpenDataKit	Seattle	United States of America	North America	47.6	-122.3166667	4
None	Open Forum Foundation	https://open4m.org/		Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
None	Open Government Partnership	http://www.opengovpartnership.org/	opengovpart	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
None	Open Institute	http://www.open.org.kh/en			Cambodia	Asia			1
None	Open Knowledge International	https://www.okfn.org/	OKFN	Cambridge	United States of America	North America	42.375	-71.10611111	1
Mozfest Facilitator	Open Knowledge Maps	https://openknowledgemaps.org/	ok_maps						4
Open leaders	Open Knowledge Nepal	https://np.okfn.org/	okfn_np						4
Mozfest Facilitator	Open Lab Games	https://www.open-lab.com/games/	robicch	Florence	Italy	Europe	43.77138889	11.25416667	4
None	open media	https://openmedia.org	openmediaorg	Vancouver	Canada	North America	49.25	-123.1	1
OWF Host Org Applicants	Open Media	https://openmedia.org	openmediaorg	Vancouver	Canada	North America	49.25	-123.1	3
Mozfest Facilitator	Open Rights Group	http://openrightsgroup.org/	openrightsgroup	London	United Kingdom	Europe	51.50722222	-0.1275	4
Funders	Open Society Foundations	https://www.opensocietyfoundations.org/	OpenSociety	New York City	United States of America	North America	40.67	-73.94	5
None	Open Society Foundations	https://www.opensocietyfoundations.org/	OpenSociety	New York City	United States of America	North America	40.67	-73.94	1
None	Open Society Foundations - Human Rights Initiative	https://www.opensocietyfoundations.org/about/programs/human-rights-initiative	opensociety	New York City	United States of America	North America	40.67	-73.94	1
Open leaders	Open Source Circular Economy Days	https://oscedays.org/	oscedays	Berlin	Germany	Europe	52.51666667	13.38333333	4
None	Open Technology Fund	https://www.opentech.fund/	OpenTechFund	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
None	Open Technology Institute	https://www.newamerica.org/oti/	OTI	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Mozfest Facilitator	Open Technology Institute and Research Action Design	https://www.newamerica.org/oti/	NewAmerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
OWF Host Org Applicants	OpenForum Europe	http://www.openforumeurope.org/	openforumeurope	Brussels	Belgium	Europe	50.8467	4.3547	3
Open leaders	OpenGov Foundation	https://opengovfoundation.org	opengovfdn	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Grantees	OpenMedia Engagement Network	https://openmedia.org/	openmediaorg	Vancouver	Canada	North America	49.25	-123.1	5
Open leaders	OpenML	openml.org/	open_ml	Eindhoven	Netherlands	Europe	51.43444444	5.484166667	4
Grantees	OpenNews	https://opennews.org/	opennews	Los Angeles	United States of America	North America	34.05	-118.25	5
Mozfest Facilitator	openSNP	https://opensnp.org/	openSNPorg						4
Open leaders	openSNP	https://opensnp.org/	openSNPorg						4
Mozfest Facilitator	OpenSpeaks	https://openspeaks.com/	OpenSpeaks						4
None	Organization for Security and Co-operation in Europe	http://www.osce.org	OSCE	Vienna	Austria	Europe	48.20833	16.373064	1
Mozfest Facilitator	Our Data Bodies Project, London School of Economics	http://www.lse.ac.uk/media-and-communications/research/research-projects/our-data-bodies	LSEnews	London	United Kingdom	Europe	51.50722222	-0.1275	4
IHR Contributors	Oxford Internet Institute	http://www.oii.ox.ac.uk/	oiioxford	Oxford	United Kingdom	Europe	51.75194444	-1.257777778	4
None	Oxford Internet Institute	http://www.oii.ox.ac.uk/	oiioxford	Oxford	United Kingdom	Europe	51.75194444	-1.257777778	1
Mozfest Facilitator	PAERE	http://www.mypaere.com/	PAERE_	Toronto	Canada	North America	43.7	-79.4	4
Open leaders	PAERE	http://www.mypaere.com/	PAERE_	Toronto	Canada	North America	43.7	-79.4	4
OWF Host Org Applicants	Paradigm Initiative	https://pinigeria.org/	paradigmhq						3
None	Paradigm Initiative	https://pinigeria.org/	ParadigmHQ	Yaba	Nigeria	Africa	6.5097	3.3863	1
Grantees	Paradigm Initiative for Information Technology Development	https://pinigeria.org/	paradigmhq						5
None	paradigm initiative nigeria	https://pinigeria.org/	paradigmhq						1
Grantees	Partnership for After School Education	https://pasesetter.org/	pasesetter	New York City	United States of America	North America	40.67	-73.94	5
Grantees	PeARS								5
Open leaders	Peer to Peer University	https://www.p2pu.org	p2pu	San Francisco	United States of America	North America	37.766667	-122.433333	4
Mozfest Facilitator	Pell Ensemble	https://www.pellensemble.com/	PellEnsemble	London	United Kingdom	Europe	51.50722222	-0.1275	4
OWF Host Org Applicants	PEN American Center DBA PEN America	https://pen.org/	penamerican	New York City	United States of America	North America	40.67	-73.94	3
Grantees	Pennez LLC	http://pennez.com/	pennez1	Kansas City	United States of America	North America	39.05	-94.58333333	5
Grantees	PenPal Schools	https://www.penpalschools.com/	penpalschools	Austin	United States of America	North America	30.3	-97.73333333	5
None	Pew Research Center	http://www.pewresearch.org/	pewresearch	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Grantees	Phaser	https://phaser.io/	phaser_	London	United Kingdom	Europe	51.50722222	-0.1275	5
Open leaders	Planet Friendly Web	https://www.planetfriendlyweb.org/	planfriendlyweb						4
Grantees	PlanIT Impact	https://www.planitimpact.com/	planitimpact	Kansas City	United States of America	North America	39.05	-94.58333333	5
Open leaders	Playworks	http://www.playworks.org	Playworks	Oakland	United States of America	North America	37.8	-122.25	4
Mozfest Facilitator	Pockets Change	http://www.pocketschange.com/	PocketsChange	New York City	United States of America	North America	40.67	-73.94	4
Open leaders	Pockets Change	http://www.pocketschange.com/	PocketsChange	New York City	United States of America	North America	40.67	-73.94	4
None	Point of View	http://pointofview.org/	povmumbai	Mumbai	India	Asia	18.96666667	72.83333333	1
None	Point of View	http://pointofview.org/	povmumbai	Mumbai	India	Asia	18.96666667	72.83333333	1
Open leaders	Powered by Data	https://poweredbydata.org/	pwrd_by_data	Montreal	Canada	North America	45.508056	-73.555	4
Grantees	PREreview	prereview.org	PREreview_						5
Mozfest Speakers	Pretty Easy privacy	https://www.prettyeasyprivacy.com/	Project_pEp						4
Open leaders	Pride Foundation	http://pridefoundation.org/	PrideFdn	Seattle	United States of America	North America	47.6	-122.3166667	4
None	Privacy Enhancing Technologies Symposium (PETS)	https://petsymposium.org/	PET_Symposium						1
IHR Contributors	Privacy International	http://www.privacyinternational.org/	privacyint	London	United Kingdom	Europe	51.50722222	-0.1275	4
None	Privacy International	http://www.privacyinternational.org/	privacyint	London	United Kingdom	Europe	51.50722222	-0.1275	1
OWF Host Org Applicants	Privacy International	http://www.privacyinternational.org/	privacyint	London	United Kingdom	Europe	51.50722222	-0.1275	3
Mozfest Speakers	Project Isizwe	http://www.projectisizwe.org/	ProjectIsizwe	Pretoria	South Africa	Africa	-25.74638889	28.18805556	4
Mozfest Speakers	ProPublica	https://www.propublica.org/	ProPublica	New York City	United States of America	North America	40.67	-73.94	4
None	ProPublica	https://www.propublica.org/	ProPublica	New York City	United States of America	North America	40.67	-73.94	1
OWF Host Org Applicants	ProPublica	https://www.propublica.org/	ProPublica	New York City	United States of America	North America	40.67	-73.94	3
None	PROTEGE QV	http://www.protegeqv.org	PROTEGEQV	Yaounde	Cameroon	Africa	3.857777778	11.51805556	1
Mozfest Facilitator	Protocol Labs	https://protocol.ai/	protocollabs						4
None	Prototype Fund	https://prototypefund.de/en/	prototypefund						1
Grantees	Providence Public Library	http://www.provlib.org/	provlib	Providence	United States of America	North America	41.83083333	-71.415	5
Mozfest Facilitator	Providence Public Library	http://www.provlib.org/	provlib	Providence	United States of America	North America	41.83083333	-71.415	4
None	Providence Public Library	http://www.provlib.org/	provlib	Providence	United States of America	North America	41.83083333	-71.415	1
OWF Host Org Applicants	Public Knowledge	http://publicknowledge.org	publicknowledge	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
OWF Host Org Applicants	Public Knowledge Workshop (PKW)	http://www.hasadna.org.il	hasadna						3
Open leaders	Push The World	https://www.pushtheworldllc.com/	pushtheworldbci	New York City	United States of America	North America	40.67	-73.94	4
Grantees	PyPy	https://pypy.org/							5
Grantees	Python Package Index	https://pypi.python.org/pypi	ThePSF						5
Mozfest Facilitator	Quicksand	http://quicksand.co.in/	helloQS						4
OWF Host Org Applicants	R Street Institute	http://www.rstreet.org/	RSI	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
None	Radio Free Asia	http://rfa.org	RadioFreeAsia	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Grantees	Rangeview Library District			Denver	United States of America	North America	39.73916667	-104.9847222	5
IHR Contributors	Ranking Digital Rights	https://rankingdigitalrights.org	rankingrights	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
OWF Host Org Applicants	Ranking Digital Rights	https://rankingdigitalrights.org	rankingrights	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
Mozfest Facilitator	Raspberry Pi Foundation	https://www.raspberrypi.org/	Raspberry_Pi	Cambridge	United States of America	North America	42.375	-71.10611111	4
None	Raspberry Pi Foundation	http://www.raspberrypi.org/about	Raspberry_Pi	Cambridge	United States of America	North America	42.375	-71.10611111	1
Mozfest Facilitator	RaspiKidd	https://www.raspikidd.com/	RaspiKidd	Perth	United Kingdom	Europe	56.39527778	-3.431666667	4
Grantees	Read the Docs	https://readthedocs.org/	readthedocs	Portland	United States of America	North America	45.51666667	-122.6666667	5
None	Reading and Writing Foundation	http://www.readingfoundation.com/	TheReadF	Calgary	Canada	North America	51.05	-114.0666667	1
None	Red Hat	https://www.redhat.com/	RedHat	Raleigh	United States of America	North America	35.81888889	-78.64472222	1
Open leaders	Red Hat	https://www.redhat.com/	RedHat	Raleigh	United States of America	North America	35.81888889	-78.64472222	4
Grantees	Redefining Women in Tech	https://redefiningwomenintech.com/	rewomenintech	Eugene	United States of America	North America	44.05194444	-123.0855556	5
None	RedesAyuda	https://redesayuda.org/	RedesAyuda		Venezuela	South America			1
Mozfest Facilitator	RedThread.Media	https://redthreadmedia.squarespace.com/							4
Grantees	Reel Stories Teen Filmmaking	http://www.reelworks.org/	ReelWorks	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Regent Park Focus Youth Media Arts Centre	http://www.regentparkfocus.com/	RegentParkFocus	Toronto	Canada	North America	43.7	-79.4	5
Grantees	Renewable Freedom Foundation	https://renewablefreedom.org/		Hof	Germany	Europe	50.31666667	11.91666667	5
None	Renewable Freedom Foundation	https://renewablefreedom.org/		Hof	Germany	Europe	50.31666667	11.91666667	1
OWF Host Org Applicants	Renewable Freedom Foundation	https://renewablefreedom.org/		Hof	Germany	Europe	50.31666667	11.91666667	3
OWF Host Org Applicants	Research Action Design (RAD)	http://rad.cat/							3
IHR Contributors	Research ICT Africa	https://researchictafrica.net/	RIAnetwork	Cape Town	South Africa	Africa	-33.925	18.425	4
None	Research ICT Africa	https://researchictafrica.net/	RIAnetwork	Cape Town	South Africa	Africa	-33.925	18.425	1
Open leaders	Research ICT Africa	https://researchictafrica.net/	RIAnetwork	Cape Town	South Africa	Africa	-33.925	18.425	4
OWF Host Org Applicants	Research ICT Africa	https://researchictafrica.net/	RIAnetwork	Cape Town	South Africa	Africa	-33.925	18.425	3
Mozfest Facilitator	Resilient Communities NYC	https://www.newamerica.org	NewAmerica	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Grantees	Review Board	https://www.reviewboard.org/	reviewboard	Palo Alto	United States of America	North America	37.42916667	-122.1380556	5
None	Rhizomática	https://rhizomatica.org/	rhizomatica		Mexico	North America			1
Grantees	Right to Play International	http://www.righttoplay.com/Pages/default.aspx	RightToPlayIntl						5
None	RightsCon	https://www.rightscon.org/	rightscon						1
IHR Contributors	RIPE	https://www.ripe.net/	(many)						4
Grantees	Riseup	https://riseup.net	riseupnet	Seattle	United States of America	North America	47.6	-122.3166667	5
Mozfest Facilitator	Riseup	https://riseup.net	riseupnet	Seattle	United States of America	North America	47.6	-122.3166667	4
None	Riseup	http://riseup.net	riseupnet	Seattle	United States of America	North America	47.6	-122.3166667	1
Funders	Rita Allen Foundation	http://www.ritaallen.org/		Princeton	United States of America	North America	41.3786	-89.4669	5
Grantees	River City Youth Foundation	http://rivercityyouth.com/	RiverCityYouth	Austin	United States of America	North America	30.3	-97.73333333	5
None	Robert W Deutsch Foundation	http://www.rwdfoundation.org/	DeutschFound	Baltimore	United States of America	North America	39.28638889	-76.615	1
None	Rory Peck Trust	https://rorypecktrust.org/	rorypecktrust	London	United Kingdom	Europe	51.50722222	-0.1275	1
Grantees	Rust Language	https://www.rust-lang.org/en-US/index.html	rustlang						5
Mozfest Facilitator	Rust Language	https://www.rust-lang.org/en-US/index.html	rustlang						4
Open leaders	Rust Language	https://www.rust-lang.org/en-US/index.html	rustlang						4
Mozfest Facilitator	Sage Bionetworks	http://sagebase.org/	sagebio	Seattle	United States of America	North America	47.6	-122.3166667	4
Open leaders	Sage Bionetworks	http://sagebase.org/	sagebio	Seattle	United States of America	North America	47.6	-122.3166667	4
Mozfest Facilitator	Science Hack Day	http://sciencehackday.org/	sciencehackday						4
Open leaders	Science Hack Day	http://sciencehackday.org/	sciencehackday						4
None	secure scuttlebutt	https://github.com/ssbc							1
Grantees	SecureDrop	https://securedrop.org							5
Mozfest Facilitator	See Think Make	https://www.seethinkmake.co.uk/	seethinkmakeart						4
Open leaders	See Think Make	https://www.seethinkmake.co.uk/	seethinkmakeart						4
Grantees	Seneca College	http://www.senecacollege.ca/							5
None	SETUP				Netherlands	Europe			1
Mozfest Facilitator	Share Foundation	https://sharefound.org/	sharefound	Aylesbury	United Kingdom	Europe	51.83333333	-0.8333333333	4
Mozfest Facilitator	Share the Facts	http://www.sharethefacts.org/	sharethefact	Durham	United States of America	North America	35.9875	-78.907222	4
Grantees	Shedd Aquarium	http://www.sheddaquarium.org	shedd_aquarium	Chicago	United States of America	North America	41.9	-87.65	5
None	Shuttleworth Foundation	https://www.shuttleworthfoundation.org/	ShuttleworthFdn	Durbanville	South Africa	Africa	-33.81666667	18.85	1
None	SIDA	https://www.sida.se	Sida	Stockholm	Sweden	Europe	59.32944444	18.06861111	1
Funders	Siegel Family Endowment	http://www.siegelendowment.org	segalfoundation	New York City	United States of America	North America	40.67	-73.94	5
None	Siegel Family Endowment	http://www.siegelendowment.org	segalfoundation	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	Siroop	https://siroop.ch/	siroop_ch	Zürich	Switzerland	Europe	47.37861111	8.54	4
Mozfest Facilitator	Sitewards GmbH	https://www.sitewards.com	sitewards	Frankfurt	Germany	Europe	50.11361111	8.679722222	4
Grantees	Sky’s the Limit Youth Organization	http://www.STLonline.org		Toronto	Canada	North America	43.7	-79.4	5
Mozfest Facilitator	Small Media	https://smallmedia.org.uk/	small_media	London	United Kingdom	Europe	51.50722222	-0.1275	4
Open leaders	Smart Chicago	http://www.smartchicagocollaborative.org/	Smartchicago	Chicago	United States of America	North America	41.9	-87.65	4
IHR Contributors	SMEX	https://smex.org/	SMEX	Beirut	Lebanon	Asia	33.88694444	35.51305556	4
None	Social Media Exchange	http://www.smex.org/	SMEX	Beirut	Lebanon	Asia	33.88694444	35.51305556	1
None	Social Media Exchange	https://smex.org	SMEX	Beirut	Lebanon	Asia	33.88694444	35.51305556	1
None	Society for Promotion of Alternative Computing and Employment	http://www.space-kerala.org/	SPACE_KERALA	Thiruvananthapuram	India	Asia	8.5	76.89972222	1
Grantees	Software Freedom Conservancy	http://www.sfconservancy.org	conservancy	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Speakers	Software Freedom Law Center	http://www.softwarefreedom.org/	sflc	New York City	United States of America	North America	40.67	-73.94	4
None	South by Southwest	https://www.sxsw.com/							1
Mozfest Facilitator	South London Rasppberry jam	http://southlondonraspberryjam.org.uk/	slraspberryjam	London	United Kingdom	Europe	51.50722222	-0.1275	4
None	Southern African NGO Network	http://www.sangonet.org.za	SANGONeT	Johannesburg	South Africa	Africa	-26.145	28.05027778	1
None	SPARC	https://sparcopen.org	SPARC_NA	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
OWF Host Org Applicants	SPARC	https://sparcopen.org	SPARC_NA	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
None	Spectrum	https://feministspectrum.org/		Paris	France	Europe	48.85657778	2.351827778	1
Grantees	Speech Rule Engine	https://github.com/zorkow/speech-rule-engine/blob/master/NOTICE							5
None	spider oak	https://spideroak.com/	spideroak						1
Open leaders	sproutfund	http://www.sproutfund.org/	sproutfund	Pittsburgh	United States of America	North America	40.45	-80	4
Mozfest Facilitator	Startuple	http://startuple.works/	startuple	London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	STEAMLabs	https://streamlabs.com/?l=pl-PL	STEAM_Labs	Toronto	Canada	North America	43.7	-79.4	5
Grantees	STEM From Dance	stemfromdance.org	stemfromdance	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Stichting Global Voices	https://globalvoices.org/contact/	globalvoices	Amsterdam	Netherlands	Europe	52.38333333	4.9	5
Grantees	Stiftung Neue Verantwortung	http://www.stiftung-nv.de/	snv_berlin	Berlin	Germany	Europe	52.51666667	13.38333333	5
None	Stiftung Neue Verantwortung	http://www.stiftung-nv.de/	snv_berlin	Berlin	Germany	Europe	52.51666667	13.38333333	1
OWF Host Org Applicants	Stiftung Neue Verantwortung	http://www.stiftung-nv.de/	snv_berlin	Berlin	Germany	Europe	52.51666667	13.38333333	3
None	Stockholm Internet Forum (SIF)	http://www.stockholminternetforum.se/	fxinternet	Stockholm	Sweden	Europe	59.32944444	18.06861111	1
Mozfest Facilitator	Storj Labs	https://storj.io/	storjproject	Atlanta	United States of America	North America	33.75694444	-84.39027778	4
None	StrawberryNet Foundation	http://www.sbnet.ro	Not on Twitter	Sfântu Gheorghe	Romania	Europe	45.86361111	25.7875	1
Grantees	Studio MindStride	http://studiomindstride.com	MindStride	Chattanooga	United States of America	North America	35.04555556	-85.26722222	5
OWF Host Org Applicants	SumOfUs	http://www.sumofus.org/	SumOfUs	New York City	United States of America	North America	40.67	-73.94	3
OWF Host Org Applicants	Sunlight Foundation	http://sunlightfoundation.com/	sunfoundation	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
Open leaders	SunPy	http://sunpy.org/	SunPyProject						4
None	sunshine foundation	http://www.sunshine.ca/	SunshineFound	London	Canada	North America	42.9837	-81.2497	1
Grantees	Sweet Water Foundation	https://www.sweetwaterfoundation.com/	sweetwaterfdn	Chicago	United States of America	North America	41.9	-87.65	5
None	Syrian Archive	https://syrianarchive.org/	syrian_archive						1
Grantees	Tactical Technology Collective	https://tacticaltech.org/	info_Activism	Berlin	Germany	Europe	52.51666667	13.38333333	5
None	Tactical Technology Collective	https://tacticaltech.org/	info_Activism	Berlin	Germany	Europe	52.51666667	13.38333333	1
Grantees	Tails								5
Grantees	Tatoeba	http://tatoeba.org	tatoeba_org						5
Open leaders	Tech for Good	http://www.techforgood.global/	techforgoodtv	London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	Tech Kids Unlimited	https://www.techkidsunlimited.org/	techkidsu	New York City	United States of America	North America	40.67	-73.94	5
OWF Host Org Applicants	TEDIC NGO	https://www.tedic.org/	TEDICpy	Asunción	Paraguay	South America	-25.3	-57.63333333	3
Mozfest Facilitator	TES Global	https://www.tes.com/tesglobal	tesglobalcorp	London	United Kingdom	Europe	51.50722222	-0.1275	4
None	Thai Netizen Network	https://thainetizen.org/	thainetizen	Bangkok	Thailand	Asia	13.75	100.5166667	1
None	the battle for the net coalition	https://www.battleforthenet.com/	battleforthenet						1
None	the center for humane technology	http://humanetech.com/	HumaneTech_	San Francisco	United States of America	North America	37.766667	-122.433333	1
Mozfest Facilitator	The Detroit Community Technology Project	https://www.alliedmedia.org/dctp	DetCommTech	Detroit	United States of America	North America	42.33166667	-83.0475	4
None	The Document Foundation	https://www.documentfoundation.org/	tdforg	Berlin	Germany	Europe	52.51666667	13.38333333	1
Mozfest Facilitator	The Educational Video Center	https://evc.org/	E_V_C_	New York City	United States of America	North America	40.67	-73.94	4
IHR Contributors	The Engine Room	https://www.theengineroom.org/	EngnRoom						4
Grantees	The Enterprise Center	http://www.theenterprisecenter.com/	PhilaTEC	Philadelphia	United States of America	North America	39.95305556	-75.16333333	5
Grantees	The Intern								5
Grantees	The Kansas University Endowment Association	http://kuendowment.org/Home	kuendowment	Lawrence	United States of America	North America	42.70694444	-71.16361111	5
Grantees	The Knowledge House	http://www.theknowledgehouse.org/	theknowledgehou	New York City	United States of America	North America	40.67	-73.94	5
Grantees	The LAMP	http://thelamp.org/	thelamp	New York City	United States of America	North America	40.67	-73.94	5
Open leaders	The New School	http://www.newschool.edu	TheNewSchool	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	The Online Progressive Engagement Network	https://www.the-open.net/	theopen						3
Grantees	THE POINT CDC	https://thepoint.org/	THEPOINTCDC	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	The Public Education Foundation - Chattanooga, TN	http://www.pefchattanooga.org/	pefchattanooga	Chattanooga	United States of America	North America	35.04555556	-85.26722222	4
Mozfest Speakers	The Restart Project	https://therestartproject.org/	restartproject	London	United Kingdom	Europe	51.50722222	-0.1275	4
Funders	The Rockefelller Foundation	https://www.rockefellerfoundation.org/	RockefellerFdn	New York City	United States of America	North America	40.67	-73.94	5
None	the slower internet								1
Mozfest Facilitator	The Software Sustainability Institute	https://www.software.ac.uk/	SoftwareSaved	Edinburgh	United Kingdom	Europe	55.95	-3.198888889	4
Grantees	The Tor Project, Inc	https://www.torproject.org	torproject	Cambridge	United States of America	North America	42.375	-71.10611111	5
None	The Tor Project, Inc	https://www.torproject.org	torproject	Cambridge	United States of America	North America	42.375	-71.10611111	1
