relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
None	Citizen Lab	http://www.citizenlab.org	citizenlab	Toronto	Canada	North America	43.7	-79.4	1
OWF Host Org Applicants	Citizen Lab	http://www.citizenlab.org	citizenlab	Toronto	Canada	North America	43.7	-79.4	3
Open leaders	Civica Digital	https://www.civica.com/en-gb/civica-digital/	CivicaUK	London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	CIVICUS WORLD ALLIANCE FOR PARTICIPATION INC	http://www.civicus.org	civicus	Johannesburg	South Africa	Africa	-26.145	28.05027778	5
Grantees	Cleveland Public Library	http://www.cpl.org	cleveland_pl	Cleveland	United States of America	North America	41.48222222	-81.66972222	5
Open leaders	Cleveland Public Library	http://www.cpl.org	cleveland_pl	Cleveland	United States of America	North America	41.48222222	-81.66972222	4
Open leaders	CodamosClub	https://www.codamos.club/	codamosclub						4
Mozfest Facilitator	Code First: Girls	https://www.codefirstgirls.org.uk/	CodeFirstGirls	London	United Kingdom	Europe	51.50722222	-0.1275	4
Open leaders	Code for Nepal	http://codefornepal.org/en/	codefornepal						4
Mozfest Facilitator	Code for Science & Society	https://codeforscience.org/	codeforsociety						4
Open leaders	Code for Science & Society	https://codeforscience.org/	codeforsociety						4
Open leaders	Code is Science	http://www.codeisscience.com/	codeisscience	Cambridge	United States of America	North America	42.375	-71.10611111	4
None	Code.org	http://code.org	codeorg	Seattle	United States of America	North America	47.6	-122.3166667	1
Grantees	Code/Interactive	https://codeinteractive.org/	weareci	New York City	United States of America	North America	40.67	-73.94	5
Grantees	CodeMirror	https://codemirror.net/							5
Mozfest Facilitator	CoderDojo	http://coderdojo.com/	coderdojo	Dublin	Ireland	Europe	53.3425	-6.265833333	4
None	Código Sur	https://www.codigosur.org	Codigo_Sur		Costa Rica	North America			1
Mozfest Facilitator	Coding Rights	https://www.codingrights.org/	CodingRights						4
OWF Host Org Applicants	Coding Rights	https://www.codingrights.org/	CodingRights						3
None	Coding Rights	https://www.codingrights.org/	CodingRights		Brazil	South America			1
None	collaborate knowledge foundation (coko)	https://coko.foundation/	CokoFoundation	San Francisco	United States of America	North America	37.766667	-122.433333	1
Grantees	Collaboration on International ICT Policy for East and Southern Africa	https://cipesa.org/	cipesaug	Kampala	Uganda	Africa	0.3136111111	32.58111111	5
OWF Host Org Applicants	Collaboration on International ICT Policy for East and Southern Africa	https://cipesa.org/	cipesaug	Kampala	Uganda	Africa	0.3136111111	32.58111111	3
None	Collaboration on International ICT Policy for East and Southern Africa (CIPESA)	http://www.cipesa.org/	cipesaug	Kampala	Uganda	Africa	0.3136111111	32.58111111	1
OWF Host Org Applicants	Colnodo	https://colnodo.apc.org/	Colnodo	Bogotá	Colombia	South America	4.598888889	-74.08083333	3
None	Colnodo	https://colnodo.apc.org/	Colnodo	Bogotá	Colombia	South America	4.598888889	-74.08083333	1
None	Color of Change	http://www.colorofchange.org/	colorofchange	Oakland	United States of America	North America	37.8	-122.25	1
OWF Host Org Applicants	Color of Change	http://www.colorofchange.org/	colorofchange	Oakland	United States of America	North America	37.8	-122.25	3
Open leaders	comexpo cyber security	http://comexpocybersecurity.com/	ComExpo_Cyber_S	Ahmedabad	India	Asia	23.03	72.58	4
Grantees	Commento	https://github.com/adtac/commento							5
